Number of nodes,Number of Edges,Average Degree,Density,Cut-Ratio,Avg. internal density,Coverage,Performance,Execution Time
25,50,4.0,0.16666666666666666,0.02,0.9,0.9,0.9666666666666667,0.022353899999999705
50,225,9.0,0.1836734693877551,0.005,0.9777777777777776,0.9777777777777777,0.9918367346938776,0.0625966999999994
75,525,14.0,0.1891891891891892,0.0022222222222222222,0.9904761904761905,0.9904761904761905,0.9963963963963964,0.09655670000000072
100,950,19.0,0.1919191919191919,0.00125,0.9947368421052631,0.9947368421052631,0.997979797979798,0.11100740000000009
125,1500,24.0,0.1935483870967742,0.0008,0.9966666666666667,0.9966666666666667,0.9987096774193548,0.17566239999999844
150,2175,29.0,0.19463087248322147,0.0005555555555555556,0.9977011494252872,0.9977011494252873,0.9991051454138703,0.2516501000000009
175,2975,34.0,0.19540229885057472,0.00040816326530612246,0.9983193277310924,0.9983193277310924,0.9993431855500821,0.3608370000000001
200,3900,39.0,0.19597989949748743,0.0003125,0.9987179487179487,0.9987179487179487,0.9994974874371859,0.6327169000000001
225,4950,44.0,0.19642857142857142,0.0002469135802469136,0.998989898989899,0.998989898989899,0.9996031746031746,0.7589343999999993
250,6125,49.0,0.19678714859437751,0.0002,0.9991836734693876,0.9991836734693877,0.9996787148594377,0.8152638000000003
275,7425,54.0,0.19708029197080293,0.00016528925619834712,0.9993265993265993,0.9993265993265993,0.9997345719973457,1.0900549000000002
300,8850,59.0,0.19732441471571907,0.0001388888888888889,0.9994350282485875,0.9994350282485875,0.9997770345596433,1.0914173999999992
325,10400,64.0,0.19753086419753085,0.00011834319526627219,0.9995192307692309,0.9995192307692308,0.9998100664767331,1.6097637999999996
350,12075,69.0,0.1977077363896848,0.00010204081632653062,0.9995859213250518,0.9995859213250518,0.9998362668849775,1.7515228
375,13875,74.0,0.19786096256684493,8.888888888888889e-05,0.9996396396396395,0.9996396396396396,0.9998573975044563,1.5267727999999998
400,15800,79.0,0.19799498746867167,7.8125e-05,0.9996835443037975,0.9996835443037975,0.999874686716792,1.8226239
425,17850,84.0,0.19811320754716982,6.920415224913495e-05,0.9997198879551821,0.9997198879551821,0.999889012208657,2.1448987000000024
450,20025,89.0,0.19821826280623608,6.17283950617284e-05,0.9997503121098626,0.9997503121098626,0.9999010146003464,2.5761231
475,22325,94.0,0.19831223628691982,5.5401662049861494e-05,0.9997760358342666,0.9997760358342666,0.9999111703308905,2.8526366000000003
500,24750,99.0,0.19839679358717435,5e-05,0.9997979797979799,0.9997979797979798,0.9999198396793587,2.9456606999999977
525,27300,104.0,0.1984732824427481,4.5351473922902495e-05,0.9998168498168498,0.9998168498168498,0.9999272991639404,4.094767900000001
550,29975,109.0,0.19854280510018216,4.132231404958678e-05,0.9998331943286072,0.9998331943286072,0.9999337638681901,5.032665700000003
575,32775,114.0,0.1986062717770035,3.7807183364839316e-05,0.9998474446987032,0.9998474446987032,0.9999394031207393,6.478005600000003
600,35700,119.0,0.1986644407345576,3.472222222222222e-05,0.999859943977591,0.999859943977591,0.9999443516972732,4.687076999999995
625,38750,124.0,0.1987179487179487,3.2e-05,0.9998709677419356,0.9998709677419355,0.999948717948718,4.1944382000000004
650,41925,129.0,0.1987673343605547,2.9585798816568047e-05,0.9998807394156233,0.9998807394156232,0.9999525897830983,4.7358823
675,45225,134.0,0.19881305637982197,2.7434842249657064e-05,0.9998894416804864,0.9998894416804864,0.9999560391251786,5.155993300000006
700,48650,139.0,0.1988555078683834,2.5510204081632654e-05,0.9998972250770812,0.9998972250770812,0.9999591252810137,5.605001799999997
725,52200,144.0,0.19889502762430938,2.3781212841854935e-05,0.9999042145593868,0.9999042145593869,0.9999618975042865,6.603068699999994
750,55875,149.0,0.19893190921228304,2.2222222222222223e-05,0.9999105145413869,0.999910514541387,0.9999643969737427,6.432848300000003
50,100,4.0,0.08163265306122448,0.008888888888888889,0.9,0.9,0.9836734693877551,0.04265969999998731
100,450,9.0,0.09090909090909091,0.0022222222222222222,0.9777777777777776,0.9777777777777777,0.9959595959595959,0.10420399999999574
150,1050,14.0,0.09395973154362416,0.0009876543209876543,0.9904761904761905,0.9904761904761905,0.9982102908277405,0.2115552000000065
200,1900,19.0,0.09547738693467336,0.0005555555555555556,0.9947368421052631,0.9947368421052631,0.9989949748743718,0.3736120000000085
250,3000,24.0,0.0963855421686747,0.00035555555555555557,0.9966666666666667,0.9966666666666667,0.9993574297188755,0.6217682000000053
300,4350,29.0,0.09698996655518395,0.0002469135802469136,0.9977011494252872,0.9977011494252873,0.9995540691192865,1.0401064999999932
350,5950,34.0,0.09742120343839542,0.00018140589569160998,0.9983193277310924,0.9983193277310924,0.999672533769955,1.4230804999999975
400,7800,39.0,0.09774436090225563,0.0001388888888888889,0.998717948717949,0.9987179487179487,0.9997493734335839,1.5096630000000033
450,9900,44.0,0.09799554565701558,0.00010973936899862826,0.998989898989899,0.998989898989899,0.9998020292006929,2.1575696999999963
500,12250,49.0,0.09819639278557114,8.888888888888889e-05,0.9991836734693876,0.9991836734693877,0.9998396793587174,2.5643663999999973
550,14850,54.0,0.09836065573770492,7.346189164370983e-05,0.9993265993265993,0.9993265993265993,0.9998675277363802,2.931869699999993
600,17700,59.0,0.09849749582637729,6.17283950617284e-05,0.9994350282485875,0.9994350282485875,0.9998887033945465,4.455212000000003
650,20800,64.0,0.09861325115562404,5.259697567389875e-05,0.9995192307692309,0.9995192307692308,0.9999051795661965,6.798056500000001
700,24150,69.0,0.09871244635193133,4.5351473922902495e-05,0.9995859213250518,0.9995859213250518,0.9999182505620274,5.001390999999998
750,27750,74.0,0.09879839786381843,3.950617283950617e-05,0.9996396396396395,0.9996396396396396,0.9999287939474856,5.301549199999997
800,31600,79.0,0.09887359198998748,3.472222222222222e-05,0.9996835443037975,0.9996835443037975,0.9999374217772216,6.39559100000001
850,35700,84.0,0.0989399293286219,3.0757400999615536e-05,0.9997198879551821,0.9997198879551821,0.9999445714681633,6.925093000000004
900,40050,89.0,0.09899888765294772,2.7434842249657064e-05,0.9997503121098626,0.9997503121098626,0.999950562353232,9.996242899999999
950,44650,94.0,0.09905163329820864,2.4622960911049555e-05,0.9997760358342666,0.9997760358342666,0.9999556319671676,9.659007500000001
1000,49500,99.0,0.0990990990990991,2.2222222222222223e-05,0.9997979797979799,0.9997979797979798,0.99995995995996,11.930008000000015
